model,split,participant_id,horizon_min,metric,value,n_samples
gbm_lr0.05_d8,test,HUPA0001P,30,mae,18.066917419433594,574
gbm_lr0.05_d8,test,HUPA0001P,30,rmse,24.17206382751465,574
gbm_lr0.05_d8,test,HUPA0001P,60,mae,31.23843002319336,574
gbm_lr0.05_d8,test,HUPA0001P,60,rmse,40.708892822265625,574
gbm_lr0.05_d8,test,HUPA0001P,90,mae,38.89574432373047,574
gbm_lr0.05_d8,test,HUPA0001P,90,rmse,50.55830383300781,574
gbm_lr0.05_d8,test,HUPA0002P,30,mae,13.086411476135254,437
gbm_lr0.05_d8,test,HUPA0002P,30,rmse,17.732585906982422,437
gbm_lr0.05_d8,test,HUPA0002P,60,mae,27.15138816833496,437
gbm_lr0.05_d8,test,HUPA0002P,60,rmse,35.16967010498047,437
gbm_lr0.05_d8,test,HUPA0002P,90,mae,36.99697494506836,437
gbm_lr0.05_d8,test,HUPA0002P,90,rmse,48.516807556152344,437
gbm_lr0.05_d8,test,HUPA0003P,30,mae,11.996190071105957,525
gbm_lr0.05_d8,test,HUPA0003P,30,rmse,15.742605209350586,525
gbm_lr0.05_d8,test,HUPA0003P,60,mae,23.187482833862305,525
gbm_lr0.05_d8,test,HUPA0003P,60,rmse,29.451784133911133,525
gbm_lr0.05_d8,test,HUPA0003P,90,mae,31.755279541015625,525
gbm_lr0.05_d8,test,HUPA0003P,90,rmse,40.00944519042969,525
gbm_lr0.05_d8,test,HUPA0004P,30,mae,14.080131530761719,437
gbm_lr0.05_d8,test,HUPA0004P,30,rmse,17.502399444580078,437
gbm_lr0.05_d8,test,HUPA0004P,60,mae,33.212162017822266,437
gbm_lr0.05_d8,test,HUPA0004P,60,rmse,39.97077941894531,437
gbm_lr0.05_d8,test,HUPA0004P,90,mae,47.08697509765625,437
gbm_lr0.05_d8,test,HUPA0004P,90,rmse,55.2313117980957,437
gbm_lr0.05_d8,test,HUPA0005P,30,mae,11.841313362121582,538
gbm_lr0.05_d8,test,HUPA0005P,30,rmse,15.66650676727295,538
gbm_lr0.05_d8,test,HUPA0005P,60,mae,20.20596694946289,538
gbm_lr0.05_d8,test,HUPA0005P,60,rmse,26.681930541992188,538
gbm_lr0.05_d8,test,HUPA0005P,90,mae,25.100727081298828,538
gbm_lr0.05_d8,test,HUPA0005P,90,rmse,33.296653747558594,538
gbm_lr0.05_d8,test,HUPA0006P,30,mae,16.68433952331543,303
gbm_lr0.05_d8,test,HUPA0006P,30,rmse,22.686410903930664,303
gbm_lr0.05_d8,test,HUPA0006P,60,mae,33.8162727355957,303
gbm_lr0.05_d8,test,HUPA0006P,60,rmse,45.43411636352539,303
gbm_lr0.05_d8,test,HUPA0006P,90,mae,48.39774703979492,303
gbm_lr0.05_d8,test,HUPA0006P,90,rmse,63.3812255859375,303
gbm_lr0.05_d8,test,HUPA0007P,30,mae,16.7320556640625,538
gbm_lr0.05_d8,test,HUPA0007P,30,rmse,21.265316009521484,538
gbm_lr0.05_d8,test,HUPA0007P,60,mae,34.70766830444336,538
gbm_lr0.05_d8,test,HUPA0007P,60,rmse,42.35277557373047,538
gbm_lr0.05_d8,test,HUPA0007P,90,mae,44.498695373535156,538
gbm_lr0.05_d8,test,HUPA0007P,90,rmse,54.36043167114258,538
gbm_lr0.05_d8,test,HUPA0009P,30,mae,8.35947036743164,531
gbm_lr0.05_d8,test,HUPA0009P,30,rmse,11.755958557128906,531
gbm_lr0.05_d8,test,HUPA0009P,60,mae,15.639866828918457,531
gbm_lr0.05_d8,test,HUPA0009P,60,rmse,20.244909286499023,531
gbm_lr0.05_d8,test,HUPA0009P,90,mae,19.314855575561523,531
gbm_lr0.05_d8,test,HUPA0009P,90,rmse,24.709774017333984,531
gbm_lr0.05_d8,test,HUPA0010P,30,mae,7.890071392059326,406
gbm_lr0.05_d8,test,HUPA0010P,30,rmse,14.00117015838623,406
gbm_lr0.05_d8,test,HUPA0010P,60,mae,16.485979080200195,406
gbm_lr0.05_d8,test,HUPA0010P,60,rmse,26.216022491455078,406
gbm_lr0.05_d8,test,HUPA0010P,90,mae,24.87550926208496,406
gbm_lr0.05_d8,test,HUPA0010P,90,rmse,39.04141616821289,406
gbm_lr0.05_d8,test,HUPA0011P,30,mae,14.386563301086426,535
gbm_lr0.05_d8,test,HUPA0011P,30,rmse,19.95253562927246,535
gbm_lr0.05_d8,test,HUPA0011P,60,mae,25.86009979248047,535
gbm_lr0.05_d8,test,HUPA0011P,60,rmse,33.91227340698242,535
gbm_lr0.05_d8,test,HUPA0011P,90,mae,34.11180877685547,535
gbm_lr0.05_d8,test,HUPA0011P,90,rmse,43.438995361328125,535
gbm_lr0.05_d8,test,HUPA0014P,30,mae,9.208483695983887,534
gbm_lr0.05_d8,test,HUPA0014P,30,rmse,12.767251014709473,534
gbm_lr0.05_d8,test,HUPA0014P,60,mae,18.112899780273438,534
gbm_lr0.05_d8,test,HUPA0014P,60,rmse,24.105226516723633,534
gbm_lr0.05_d8,test,HUPA0014P,90,mae,24.530445098876953,534
gbm_lr0.05_d8,test,HUPA0014P,90,rmse,32.31135559082031,534
gbm_lr0.05_d8,test,HUPA0015P,30,mae,10.335445404052734,528
gbm_lr0.05_d8,test,HUPA0015P,30,rmse,15.224194526672363,528
gbm_lr0.05_d8,test,HUPA0015P,60,mae,23.560165405273438,528
gbm_lr0.05_d8,test,HUPA0015P,60,rmse,33.1317253112793,528
gbm_lr0.05_d8,test,HUPA0015P,90,mae,34.29492950439453,528
gbm_lr0.05_d8,test,HUPA0015P,90,rmse,44.515113830566406,528
gbm_lr0.05_d8,test,HUPA0016P,30,mae,11.339699745178223,535
gbm_lr0.05_d8,test,HUPA0016P,30,rmse,16.925994873046875,535
gbm_lr0.05_d8,test,HUPA0016P,60,mae,21.528377532958984,535
gbm_lr0.05_d8,test,HUPA0016P,60,rmse,29.32172203063965,535
gbm_lr0.05_d8,test,HUPA0016P,90,mae,26.465120315551758,535
gbm_lr0.05_d8,test,HUPA0016P,90,rmse,35.540000915527344,535
gbm_lr0.05_d8,test,HUPA0017P,30,mae,12.331011772155762,499
gbm_lr0.05_d8,test,HUPA0017P,30,rmse,16.47091293334961,499
gbm_lr0.05_d8,test,HUPA0017P,60,mae,25.104026794433594,499
gbm_lr0.05_d8,test,HUPA0017P,60,rmse,32.383872985839844,499
gbm_lr0.05_d8,test,HUPA0017P,90,mae,33.80884552001953,499
gbm_lr0.05_d8,test,HUPA0017P,90,rmse,44.619834899902344,499
gbm_lr0.05_d8,test,HUPA0018P,30,mae,10.46799087524414,544
gbm_lr0.05_d8,test,HUPA0018P,30,rmse,13.588444709777832,544
gbm_lr0.05_d8,test,HUPA0018P,60,mae,22.370716094970703,544
gbm_lr0.05_d8,test,HUPA0018P,60,rmse,27.549846649169922,544
gbm_lr0.05_d8,test,HUPA0018P,90,mae,34.233856201171875,544
gbm_lr0.05_d8,test,HUPA0018P,90,rmse,41.095577239990234,544
gbm_lr0.05_d8,test,HUPA0019P,30,mae,16.14937973022461,516
gbm_lr0.05_d8,test,HUPA0019P,30,rmse,20.745342254638672,516
gbm_lr0.05_d8,test,HUPA0019P,60,mae,29.542877197265625,516
gbm_lr0.05_d8,test,HUPA0019P,60,rmse,37.24001693725586,516
gbm_lr0.05_d8,test,HUPA0019P,90,mae,36.4684944152832,516
gbm_lr0.05_d8,test,HUPA0019P,90,rmse,46.23531723022461,516
gbm_lr0.05_d8,test,HUPA0020P,30,mae,13.894082069396973,389
gbm_lr0.05_d8,test,HUPA0020P,30,rmse,19.75655174255371,389
gbm_lr0.05_d8,test,HUPA0020P,60,mae,28.953773498535156,389
gbm_lr0.05_d8,test,HUPA0020P,60,rmse,39.36191177368164,389
gbm_lr0.05_d8,test,HUPA0020P,90,mae,38.348636627197266,389
gbm_lr0.05_d8,test,HUPA0020P,90,rmse,50.168174743652344,389
gbm_lr0.05_d8,test,HUPA0021P,30,mae,16.115694046020508,311
gbm_lr0.05_d8,test,HUPA0021P,30,rmse,24.057405471801758,311
gbm_lr0.05_d8,test,HUPA0021P,60,mae,28.811037063598633,311
