model,split,participant_id,horizon_min,metric,value,n_samples
step6_hybrid_v2_pers_resid,val,HUPA0001P,30,mae,22.037256240844727,573
step6_hybrid_v2_pers_resid,val,HUPA0001P,30,rmse,29.80310821533203,573
step6_hybrid_v2_pers_resid,val,HUPA0001P,60,mae,38.53318786621094,573
step6_hybrid_v2_pers_resid,val,HUPA0001P,60,rmse,49.382904052734375,573
step6_hybrid_v2_pers_resid,val,HUPA0001P,90,mae,47.83075714111328,573
step6_hybrid_v2_pers_resid,val,HUPA0001P,90,rmse,60.494651794433594,573
step6_hybrid_v2_pers_resid,val,HUPA0002P,30,mae,9.368064880371094,436
step6_hybrid_v2_pers_resid,val,HUPA0002P,30,rmse,12.712238311767578,436
step6_hybrid_v2_pers_resid,val,HUPA0002P,60,mae,18.794050216674805,436
step6_hybrid_v2_pers_resid,val,HUPA0002P,60,rmse,24.695560455322266,436
step6_hybrid_v2_pers_resid,val,HUPA0002P,90,mae,27.349018096923828,436
step6_hybrid_v2_pers_resid,val,HUPA0002P,90,rmse,35.24168014526367,436
step6_hybrid_v2_pers_resid,val,HUPA0003P,30,mae,13.459325790405273,524
step6_hybrid_v2_pers_resid,val,HUPA0003P,30,rmse,18.137710571289062,524
step6_hybrid_v2_pers_resid,val,HUPA0003P,60,mae,24.96085548400879,524
step6_hybrid_v2_pers_resid,val,HUPA0003P,60,rmse,32.57215118408203,524
step6_hybrid_v2_pers_resid,val,HUPA0003P,90,mae,33.485233306884766,524
step6_hybrid_v2_pers_resid,val,HUPA0003P,90,rmse,42.457244873046875,524
step6_hybrid_v2_pers_resid,val,HUPA0004P,30,mae,15.282631874084473,437
step6_hybrid_v2_pers_resid,val,HUPA0004P,30,rmse,20.989622116088867,437
step6_hybrid_v2_pers_resid,val,HUPA0004P,60,mae,31.61439323425293,437
step6_hybrid_v2_pers_resid,val,HUPA0004P,60,rmse,42.60523223876953,437
step6_hybrid_v2_pers_resid,val,HUPA0004P,90,mae,44.17538833618164,437
step6_hybrid_v2_pers_resid,val,HUPA0004P,90,rmse,58.89316177368164,437
step6_hybrid_v2_pers_resid,val,HUPA0005P,30,mae,11.514771461486816,538
step6_hybrid_v2_pers_resid,val,HUPA0005P,30,rmse,14.70739459991455,538
step6_hybrid_v2_pers_resid,val,HUPA0005P,60,mae,19.01032829284668,538
step6_hybrid_v2_pers_resid,val,HUPA0005P,60,rmse,23.4502010345459,538
step6_hybrid_v2_pers_resid,val,HUPA0005P,90,mae,23.903581619262695,538
step6_hybrid_v2_pers_resid,val,HUPA0005P,90,rmse,29.755971908569336,538
step6_hybrid_v2_pers_resid,val,HUPA0006P,30,mae,12.729246139526367,302
step6_hybrid_v2_pers_resid,val,HUPA0006P,30,rmse,16.89968490600586,302
step6_hybrid_v2_pers_resid,val,HUPA0006P,60,mae,26.04153823852539,302
step6_hybrid_v2_pers_resid,val,HUPA0006P,60,rmse,35.291221618652344,302
step6_hybrid_v2_pers_resid,val,HUPA0006P,90,mae,33.251468658447266,302
step6_hybrid_v2_pers_resid,val,HUPA0006P,90,rmse,48.68434143066406,302
step6_hybrid_v2_pers_resid,val,HUPA0007P,30,mae,17.423748016357422,538
step6_hybrid_v2_pers_resid,val,HUPA0007P,30,rmse,25.94589614868164,538
step6_hybrid_v2_pers_resid,val,HUPA0007P,60,mae,30.307069778442383,538
step6_hybrid_v2_pers_resid,val,HUPA0007P,60,rmse,40.72524642944336,538
step6_hybrid_v2_pers_resid,val,HUPA0007P,90,mae,41.758445739746094,538
step6_hybrid_v2_pers_resid,val,HUPA0007P,90,rmse,53.81852340698242,538
step6_hybrid_v2_pers_resid,val,HUPA0009P,30,mae,3.255023956298828,531
step6_hybrid_v2_pers_resid,val,HUPA0009P,30,rmse,5.380454063415527,531
step6_hybrid_v2_pers_resid,val,HUPA0009P,60,mae,6.548405647277832,531
step6_hybrid_v2_pers_resid,val,HUPA0009P,60,rmse,10.25137710571289,531
step6_hybrid_v2_pers_resid,val,HUPA0009P,90,mae,9.270076751708984,531
step6_hybrid_v2_pers_resid,val,HUPA0009P,90,rmse,13.320781707763672,531
step6_hybrid_v2_pers_resid,val,HUPA0010P,30,mae,7.388064384460449,405
step6_hybrid_v2_pers_resid,val,HUPA0010P,30,rmse,17.376522064208984,405
step6_hybrid_v2_pers_resid,val,HUPA0010P,60,mae,16.2663631439209,405
step6_hybrid_v2_pers_resid,val,HUPA0010P,60,rmse,28.662403106689453,405
step6_hybrid_v2_pers_resid,val,HUPA0010P,90,mae,24.089244842529297,405
step6_hybrid_v2_pers_resid,val,HUPA0010P,90,rmse,36.277225494384766,405
step6_hybrid_v2_pers_resid,val,HUPA0011P,30,mae,13.917634963989258,535
step6_hybrid_v2_pers_resid,val,HUPA0011P,30,rmse,19.0036563873291,535
step6_hybrid_v2_pers_resid,val,HUPA0011P,60,mae,26.216880798339844,535
step6_hybrid_v2_pers_resid,val,HUPA0011P,60,rmse,35.343116760253906,535
step6_hybrid_v2_pers_resid,val,HUPA0011P,90,mae,34.85614013671875,535
step6_hybrid_v2_pers_resid,val,HUPA0011P,90,rmse,46.278717041015625,535
step6_hybrid_v2_pers_resid,val,HUPA0014P,30,mae,10.828136444091797,533
step6_hybrid_v2_pers_resid,val,HUPA0014P,30,rmse,14.819013595581055,533
step6_hybrid_v2_pers_resid,val,HUPA0014P,60,mae,21.115760803222656,533
step6_hybrid_v2_pers_resid,val,HUPA0014P,60,rmse,29.632986068725586,533
step6_hybrid_v2_pers_resid,val,HUPA0014P,90,mae,29.99258041381836,533
step6_hybrid_v2_pers_resid,val,HUPA0014P,90,rmse,40.956817626953125,533
step6_hybrid_v2_pers_resid,val,HUPA0015P,30,mae,12.24008846282959,528
step6_hybrid_v2_pers_resid,val,HUPA0015P,30,rmse,16.771167755126953,528
step6_hybrid_v2_pers_resid,val,HUPA0015P,60,mae,27.350467681884766,528
step6_hybrid_v2_pers_resid,val,HUPA0015P,60,rmse,36.942626953125,528
step6_hybrid_v2_pers_resid,val,HUPA0015P,90,mae,39.398284912109375,528
step6_hybrid_v2_pers_resid,val,HUPA0015P,90,rmse,53.536224365234375,528
step6_hybrid_v2_pers_resid,val,HUPA0016P,30,mae,10.443202018737793,534
step6_hybrid_v2_pers_resid,val,HUPA0016P,30,rmse,16.164382934570312,534
step6_hybrid_v2_pers_resid,val,HUPA0016P,60,mae,20.926000595092773,534
step6_hybrid_v2_pers_resid,val,HUPA0016P,60,rmse,29.804182052612305,534
step6_hybrid_v2_pers_resid,val,HUPA0016P,90,mae,29.55047035217285,534
step6_hybrid_v2_pers_resid,val,HUPA0016P,90,rmse,40.00437545776367,534
step6_hybrid_v2_pers_resid,val,HUPA0017P,30,mae,13.009868621826172,499
step6_hybrid_v2_pers_resid,val,HUPA0017P,30,rmse,18.3094539642334,499
step6_hybrid_v2_pers_resid,val,HUPA0017P,60,mae,25.515562057495117,499
step6_hybrid_v2_pers_resid,val,HUPA0017P,60,rmse,35.26306915283203,499
step6_hybrid_v2_pers_resid,val,HUPA0017P,90,mae,34.57526779174805,499
step6_hybrid_v2_pers_resid,val,HUPA0017P,90,rmse,49.004783630371094,499
step6_hybrid_v2_pers_resid,val,HUPA0018P,30,mae,11.386442184448242,543
step6_hybrid_v2_pers_resid,val,HUPA0018P,30,rmse,16.76813316345215,543
step6_hybrid_v2_pers_resid,val,HUPA0018P,60,mae,23.249134063720703,543
step6_hybrid_v2_pers_resid,val,HUPA0018P,60,rmse,30.93644142150879,543
step6_hybrid_v2_pers_resid,val,HUPA0018P,90,mae,32.777740478515625,543
step6_hybrid_v2_pers_resid,val,HUPA0018P,90,rmse,42.43269348144531,543
step6_hybrid_v2_pers_resid,val,HUPA0019P,30,mae,15.33928108215332,516
step6_hybrid_v2_pers_resid,val,HUPA0019P,30,rmse,21.590763092041016,516
step6_hybrid_v2_pers_resid,val,HUPA0019P,60,mae,32.821983337402344,516
step6_hybrid_v2_pers_resid,val,HUPA0019P,60,rmse,42.15890884399414,516
